b,m,lambda,beta,rho
60,1,0.07665695770853087,0.9655060102553396,0
61,1,0.058744984706643764,1.1202783510065948,0
62,1,0.04930589460029543,1.1341782080590475,0
63,1,0.06718501804312947,1.061267224363205,0
64,1,0.02060788837042637,1.2714165966644428,0
65,1,0.12811826352200054,0.8628702263931896,0
66,1,0.03694852017968715,1.1760624005736495,0
67,1,0.20457486469469927,0.8395253841669592,0
68,1,0.06124807328541641,1.0330475294102242,0
69,1,0.13234330712436604,0.9183917633956645,0
70,1,0.11566986031047809,0.842904985840284,0
71,1,0.07436777768568409,0.989728227330171,0
72,1,0.07298148695202097,1.0412693976948382,0
73,1,0.14946248900593911,0.8171552523343764,0
74,1,0.14017424443586626,0.8242934620753556,0
75,1,0.06945804569857529,1.0758499292854071,0
76,1,0.03652644294161599,1.232890626567362,0
77,1,0.048164729170010585,1.142118857420706,0
78,1,0.16770850689313652,0.8068949194055578,0
79,1,0.09561975258025361,0.9661144708037493,0
80,1,0.07913230939576557,1.0565170647943543,0
81,1,0.13495961531998954,0.8539588735437278,0
82,1,0.09627671634454689,0.9359651929858706,0
83,1,0.005898914356475633,1.5839771287035467,0
84,1,0.15822623987517,0.7977008555573474,0
85,1,0.0028114533035437047,1.7412650604645317,0
86,1,0.10920785469639849,1.0443688032050418,0
87,1,0.10284267516036415,0.934518007954237,0
88,1,0.09912251408621248,1.083486042561036,0
89,1,0.12091147540867571,0.8860995267493238,0
90,1,0.08741830470987473,0.9691328675363652,0
91,1,0.05054155095391654,1.1593816054841268,0
92,1,0.08315335753214079,0.9691426539656542,0
93,1,0.01421477793855833,1.2499658387570183,0
94,1,0.14964682721523634,0.8173713478250919,0
95,1,0.01955778085705559,1.3390259009571945,0
96,1,0.08503856587238562,1.039884408712321,0
97,1,0.03696251530991499,1.2063102760625188,0
98,1,0.018618794851884342,1.3041177871298726,0
99,1,0.01593388704591698,1.413222481896858,0
100,1,0.039263481718176806,1.0958399316546648,0
0,2,0.15870915064891747,0.6862898321800985,-0.5840538468586546
1,2,0.062052289458290825,1.2627577452269234,5.382119101897848
2,2,0.1808318627125182,0.8362546994958808,0.446960290082087
3,2,0.1187478237188832,0.7256896709701749,-0.6023033570525502
4,2,0.12426738278204906,0.9614570890894213,0.662636675406027
5,2,0.10493849699225526,0.7446357664388297,-0.5831118590120467
6,2,0.12046109231432567,0.7209138987932233,-0.5990816931604952
7,2,0.1479266565070672,0.6832947169873169,-0.5783991939238484
8,2,0.1565851851957029,0.6905948745585359,-0.6058856303102116
9,2,0.18704947204356667,0.6471962827732499,-0.5880630259917136
10,2,0.0024310687644703054,1.823270452359016,-0.6535540990631842
11,2,0.15889946279145076,0.8864169056782083,0.5035180547719531
12,2,0.13305506693295827,0.7029035298842746,-0.6097281265497632
13,2,0.09428780024699901,0.7682440867766086,-0.6117814718889123
14,2,0.14078811358351456,0.688615365228063,-0.6085894165466638
15,2,0.10133315041947731,1.0652861860967675,2.953227159868235
16,2,0.15683000856387236,0.6734486311221016,-0.6173279451833703
17,2,0.1481879894173623,0.9777480980303055,3.548524796131709
18,2,0.1681729673909507,0.6801956595975814,-0.612903825608894
19,2,0.18127338502033216,0.8128386243728224,0.18198974234884271
20,2,0.16265977056181502,0.6607741759097112,-0.5718009009874031
21,2,0.22947873699749632,0.7735617526755177,0.44661180913841025
22,2,0.09927189603439109,0.7506074351689723,-0.5714662664878003
23,2,0.24266319366267572,0.796465857394287,0.5191826172645263
